2019-09-25 11:44:13,516 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-09-25 11:46:50,003 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-sellergoods-interface/src/test/resources
2019-09-25 11:46:50,055 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-content-interface/src/main/java
2019-09-25 11:46:50,055 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-content-interface/src/main/resources
2019-09-25 11:46:50,055 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-content-interface/src/test/java
2019-09-25 11:46:50,055 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-content-interface/src/test/resources
2019-09-25 11:46:50,126 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-manager-web/src/main/java
2019-09-25 11:46:50,126 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-manager-web/src/main/resources
2019-09-25 11:46:50,127 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-manager-web/src/test/java
2019-09-25 11:46:50,127 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-manager-web/src/test/resources
2019-09-25 11:46:51,630 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:46:51,752 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-content-service/src/main/java
2019-09-25 11:46:51,752 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-content-service/src/main/resources
2019-09-25 11:46:51,752 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-content-service/src/test/java
2019-09-25 11:46:51,752 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-content-service/src/test/resources
2019-09-25 11:46:52,087 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:46:52,184 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-sellergoods-service/src/main/java
2019-09-25 11:46:52,184 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-sellergoods-service/src/main/resources
2019-09-25 11:46:52,184 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-sellergoods-service/src/test/java
2019-09-25 11:46:52,184 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-sellergoods-service/src/test/resources
2019-09-25 11:46:52,422 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:46:52,505 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-portal-web/src/main/java
2019-09-25 11:46:52,505 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-portal-web/src/main/resources
2019-09-25 11:46:52,505 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-portal-web/src/test/java
2019-09-25 11:46:52,506 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-portal-web/src/test/resources
2019-09-25 11:46:52,755 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:46:52,830 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-shop-web/src/main/java
2019-09-25 11:46:52,830 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-shop-web/src/main/resources
2019-09-25 11:46:52,830 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /fangxingmall-shop-web/src/test/java
2019-09-25 11:46:52,831 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /fangxingmall-shop-web/src/test/resources
2019-09-25 11:46:53,220 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:46:53,278 [Worker-22] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 11 project(s) in 35 sec
2019-09-25 11:46:57,706 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:46:57,718 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-09-25 11:46:57,735 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:46:57,741 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:01,328 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:01,334 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:01,335 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:01,342 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:02,472 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:02,478 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 23 resources
2019-09-25 11:47:02,561 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:02,566 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:02,720 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:02,725 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:02,726 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:02,732 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:08,665 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:47:08,744 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:08,749 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-09-25 11:47:08,751 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:08,758 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:13,008 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:47:13,054 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:13,062 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2019-09-25 11:47:13,064 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:13,069 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:13,301 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:13,306 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:13,307 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:13,312 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:24,396 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:47:24,469 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:24,499 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-09-25 11:47:24,512 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:24,517 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:29,787 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:47:29,837 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:29,843 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-09-25 11:47:29,844 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:29,849 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-09-25 11:47:35,359 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2019-09-25 11:47:35,430 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:35,435 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2019-09-25 11:47:35,437 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-25 11:47:35,442 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
